City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
71,Vaini,IN,2019-11-12 03:28:44,15.34,74.49,73.4,78,0,8.03,mist,0.0,0.0
72,Lorengau,PG,2019-11-12 03:28:44,-2.02,147.27,79.59,87,100,14.99,light rain,1.38,0.0
73,Hermanus,ZA,2019-11-12 03:28:45,-34.42,19.24,64.0,97,100,1.01,light rain,0.63,0.0
74,Saint-Philippe,CA,2019-11-12 03:28:45,45.36,-73.48,21.0,85,90,19.46,light snow,0.0,0.0
75,Kaman,TR,2019-11-12 03:28:45,39.36,33.73,49.44,53,0,3.31,clear sky,0.0,0.0
76,Filingue,NE,2019-11-12 03:28:45,14.35,3.32,81.3,18,60,6.93,broken clouds,0.0,0.0
77,Souillac,FR,2019-11-12 03:28:45,45.6,-0.6,44.6,93,97,4.7,overcast clouds,0.0,0.0
78,Port Macquarie,AU,2019-11-12 03:28:46,-31.43,152.91,90.0,30,90,13.87,overcast clouds,0.0,0.0
79,Nome,US,2019-11-12 03:28:46,30.04,-94.42,51.8,87,90,18.34,light intensity drizzle,0.0,0.0
80,Mangrol,IN,2019-11-12 03:28:46,25.33,76.51,74.7,52,0,5.41,clear sky,0.0,0.0
81,Port Hardy,CA,2019-11-12 03:28:46,50.7,-127.42,48.2,87,90,13.87,overcast clouds,0.0,0.0
82,Poum,MK,2019-11-12 03:28:46,41.28,20.71,43.36,84,100,6.78,overcast clouds,0.0,0.0
83,Oskarshamn,SE,2019-11-12 03:28:46,57.26,16.44,43.0,87,75,11.41,broken clouds,0.0,0.0
84,Bethel,US,2019-11-12 03:28:47,60.79,-161.76,39.2,86,90,5.82,overcast clouds,0.0,0.0
85,Saraza,PH,2019-11-12 03:28:47,8.74,117.78,82.2,73,68,0.85,broken clouds,0.0,0.0
86,Majene,ID,2019-11-12 03:28:47,-3.54,118.97,76.03,89,100,3.24,light rain,1.44,0.0
87,Hithadhoo,MV,2019-11-12 03:28:47,-0.6,73.08,82.04,79,57,12.75,light rain,0.44,0.0
88,San Ramon,NI,2019-11-12 03:28:47,12.92,-85.84,65.25,96,6,4.07,clear sky,0.0,0.0
89,Muyuka,CM,2019-11-12 03:28:47,4.29,9.41,78.8,94,75,3.36,broken clouds,0.0,0.0
90,Emerald,AU,2019-11-12 03:28:48,-23.53,148.16,93.2,18,0,9.17,clear sky,0.0,0.0
91,Kiruna,SE,2019-11-12 03:28:48,67.86,20.23,10.4,92,96,1.66,overcast clouds,0.0,0.0
92,Pontianak,ID,2019-11-12 03:28:48,-0.02,109.34,84.2,74,20,2.53,few clouds,0.0,0.0
93,Vao,EE,2019-11-12 03:28:49,59.1,26.19,32.11,94,3,3.38,clear sky,0.0,0.0
94,Vryburg,ZA,2019-11-12 03:28:49,-26.96,24.73,64.02,69,100,7.54,overcast clouds,0.0,0.0
95,Kavieng,PG,2019-11-12 03:28:49,-2.57,150.8,76.69,86,100,5.79,heavy intensity rain,14.81,0.0
96,Thompson,CA,2019-11-12 03:26:01,55.74,-97.86,-4.01,83,40,3.36,scattered clouds,0.0,0.0
97,Manokwari,ID,2019-11-12 03:28:49,-0.87,134.08,80.02,75,100,5.01,overcast clouds,0.0,0.0
98,Egvekinot,RU,2019-11-12 03:28:50,66.32,-179.17,22.19,94,90,12.93,overcast clouds,0.0,0.0
99,Zharkent,KZ,2019-11-12 03:28:50,44.17,80.0,36.1,72,0,11.88,clear sky,0.0,0.0
100,Bereda,ES,2019-11-12 03:28:50,43.27,-7.54,52.0,81,89,9.17,light rain,0.13,0.0
101,La Paz,MX,2019-11-12 03:28:20,24.15,-110.32,69.8,94,75,5.82,broken clouds,0.0,0.0
102,Bunia,CD,2019-11-12 03:28:50,1.56,30.25,68.85,90,100,2.37,light rain,2.19,0.0
103,Chokurdakh,RU,2019-11-12 03:28:51,70.62,147.9,8.98,95,100,4.76,light snow,0.0,0.81
104,Leningradskiy,RU,2019-11-12 03:28:51,69.38,178.42,27.99,96,99,11.74,light snow,0.0,0.31
105,Cayenne,GF,2019-11-12 03:28:51,4.94,-52.33,77.0,94,40,2.24,scattered clouds,0.0,0.0
106,Barrow,AR,2019-11-12 03:28:51,-38.31,-60.23,57.99,88,100,14.85,light rain,2.19,0.0
107,Mar Del Plata,AR,2019-11-12 03:28:51,-46.43,-67.52,52.23,82,0,9.89,clear sky,0.0,0.0
108,Vredendal,ZA,2019-11-12 03:28:51,-31.68,18.49,56.84,88,0,2.04,clear sky,0.0,0.0
109,Nanortalik,GL,2019-11-12 03:28:52,60.14,-45.24,34.36,86,100,11.86,light snow,0.0,1.44
110,Ostrovnoy,RU,2019-11-12 03:28:52,68.05,39.51,20.41,87,100,10.63,overcast clouds,0.0,0.0
111,Saldanha,PT,2019-11-12 03:28:52,41.42,-6.55,39.92,92,5,3.67,clear sky,0.0,0.0
112,Carnarvon,ZA,2019-11-12 03:28:52,-30.97,22.13,54.75,54,0,6.85,clear sky,0.0,0.0
113,Sao Joao Da Barra,BR,2019-11-12 03:28:53,-21.64,-41.05,71.51,89,100,10.74,moderate rain,10.56,0.0
114,Bambous Virieux,MU,2019-11-12 03:28:53,-20.34,57.76,77.0,94,75,5.82,light intensity shower rain,0.0,0.0
115,Zhezkazgan,KZ,2019-11-12 03:28:53,47.8,67.71,15.8,72,75,4.47,mist,0.0,0.0
116,Samana,EC,2019-11-12 03:28:53,0.12,-76.97,70.79,99,100,1.7,overcast clouds,0.0,0.0
117,Dagana,MR,2019-11-12 03:28:53,16.52,-15.51,77.0,29,0,2.24,clear sky,0.0,0.0
118,East London,ZA,2019-11-12 03:28:53,-33.02,27.91,66.2,100,90,14.99,light rain,0.0,0.0
119,Seoul,KR,2019-11-12 03:24:08,37.57,126.98,57.2,50,95,2.24,overcast clouds,0.0,0.0
120,Carutapera,BR,2019-11-12 03:28:54,-1.2,-46.02,80.98,79,0,12.75,clear sky,0.0,0.0
121,Komsomolskiy,RU,2019-11-12 03:28:54,67.55,63.78,-8.56,100,100,4.21,overcast clouds,0.0,0.0
122,Kloulklubed,PW,2019-11-12 03:28:54,7.04,134.26,86.0,70,75,11.41,broken clouds,0.0,0.0
123,Pevek,RU,2019-11-12 03:28:54,69.7,170.27,11.03,92,56,3.69,broken clouds,0.0,0.0
124,Ilulissat,GL,2019-11-12 03:28:55,69.22,-51.1,39.2,38,100,21.92,light snow,0.0,0.13
125,Ayr,AU,2019-11-12 03:28:55,-19.58,147.4,82.99,55,0,1.99,clear sky,0.0,0.0
126,Balvanesti,RO,2019-11-12 03:28:55,44.8,22.68,44.78,73,100,7.65,overcast clouds,0.0,0.0
127,Hare Bay,CA,2019-11-12 03:28:55,48.86,-53.99,24.8,73,20,12.75,few clouds,0.0,0.0
128,Santiago Del Estero,AR,2019-11-12 03:28:55,-27.8,-64.26,77.58,54,100,6.8,overcast clouds,0.0,0.0
129,Omboue,GA,2019-11-12 03:28:56,-1.57,9.26,73.56,98,100,3.11,moderate rain,3.19,0.0
130,Ponta Do Sol,BR,2019-11-12 03:28:56,-20.63,-46.0,67.37,91,100,7.36,overcast clouds,0.0,0.0
131,Flin Flon,CA,2019-11-12 03:28:56,54.77,-101.88,6.21,77,0,11.95,clear sky,0.0,0.0
132,Lavrentiya,RU,2019-11-12 03:28:56,65.58,-170.99,34.0,90,100,13.58,light rain,0.44,0.0
133,Kendari,ID,2019-11-12 03:28:56,-3.99,122.52,91.15,49,5,7.72,clear sky,0.0,0.0
134,Tasiilaq,GL,2019-11-12 03:28:56,65.61,-37.64,35.6,87,100,39.15,snow,0.0,2.38
135,Paramirim,BR,2019-11-12 03:28:57,-13.44,-42.24,66.81,51,5,4.97,clear sky,0.0,0.0
136,Praia Da Vitoria,PT,2019-11-12 03:28:57,38.73,-27.07,57.2,93,20,9.22,few clouds,0.0,0.0
137,Saskylakh,RU,2019-11-12 03:28:57,71.97,114.09,-14.77,93,43,6.6,scattered clouds,0.0,0.0
